business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
360 School Trips;130;;Tours,Middle Schools & High Schools,Travel Services;0;;25.6963734;-80.4432687;0;https://www.yelp.com/biz/360-school-trips-miami
Miami-Dade County Public Schools;131;;Elementary Schools,Middle Schools & High Schools;0;6300 NW 27th Ave Miami, FL 33147;25.8326664;-80.2421849;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-116
Miami-Dade County Public Schools;132;;Elementary Schools,Middle Schools & High Schools;0;1331 NW 46th St Miami, FL 33142;25.8176448;-80.2185119;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-77
Miami-Dade County Public Schools;133;;Elementary Schools,Middle Schools & High Schools;0;4700 NW 12th Ave Miami, FL 33127;25.8183125;-80.2177508;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-232
Miami-Dade County Public Schools;134;;Elementary Schools,Middle Schools & High Schools;0;401 NW 29th St Miami, FL 33127;25.8043083;-80.202199;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-50
Miami-Dade County Public Schools;135;;Elementary Schools,Middle Schools & High Schools;0;15900 SW 56th St Miami, FL 33185;25.7126998;-80.4520245;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-143
Miami-Dade County Public Schools;136;;Elementary Schools,Middle Schools & High Schools;0;121 SW 78th Pl Miami, FL 33144;25.7689008;-80.3226635;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-89
Miami-Dade County Public Schools;137;;Elementary Schools,Middle Schools & High Schools;0;12265 SW 34th St Miami, FL 33175;25.737642;-80.393214;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-191
Design & Architecture Senior High;138;3;Middle Schools & High Schools;5.0;4001 NE 2nd Ave Miami, FL 33137;25.8138236;-80.1911277;0;https://www.yelp.com/biz/design-and-architecture-senior-high-miami
Miami-Dade County Public Schools;139;;Elementary Schools,Middle Schools & High Schools;0;12345 SW 18th Ter Miami, FL 33175;25.7518426;-80.3959292;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-212
Miami-Dade County Public Schools;140;;Elementary Schools,Middle Schools & High Schools;0;8455 SW 119th St Miami, FL 33156;25.6605992;-80.3318093;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-90
Miami-Dade County Public Schools;141;;Elementary Schools,Middle Schools & High Schools;0;7351 SW 128th St Miami, FL 33156;25.6541487;-80.3136159;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-119
Coral Reef High School;142;1;Middle Schools & High Schools;1.0;10101 SW 152nd St Miami, FL 33157;25.630124979682;-80.356792205708;0;https://www.yelp.com/biz/coral-reef-high-school-miami
Ponce De Leon Middle;143;;Middle Schools & High Schools;0;5801 Augusto St Coral Gables, FL 33146;25.7172795524137;-80.2721965312958;0;https://www.yelp.com/biz/ponce-de-leon-middle-coral-gables
Miami Lakes Educational Center;144;2;Middle Schools & High Schools;3.5;5780 NW 158th St Miami, FL 33014;25.9169329;-80.2947984;0;https://www.yelp.com/biz/miami-lakes-educational-center-miami
Janet Reno New Chance Alternative Middle School;145;;Elementary Schools,Middle Schools & High Schools;0;6101 NW 2nd Ave Miami, FL 33127;25.8317681;-80.200004;0;https://www.yelp.com/biz/janet-reno-new-chance-alternative-middle-school-miami
Miami-Dade County Public Schools;146;;Elementary Schools,Middle Schools & High Schools;0;1855 NW 71st St Miami, FL 33147;25.8394323;-80.2282151;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-204
Miami-Dade County Public Schools;147;;Elementary Schools,Middle Schools & High Schools;0;4280 W 8th Ave Hialeah, FL 33012;25.861587;-80.299677;0;https://www.yelp.com/biz/miami-dade-county-public-schools-hialeah-15
Miami-Dade County Public Schools;148;;Elementary Schools,Middle Schools & High Schools;0;11905 N Miami Ave Miami, FL 33168;25.8854124;-80.197296;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-19
Sunset Preparatory School Summer;149;;Elementary Schools,Middle Schools & High Schools,Preschools;0;11925 SW 72nd St Miami, FL 33183;25.7012605;-80.3868497;0;https://www.yelp.com/biz/sunset-preparatory-school-summer-miami
Miami-Dade County Public Schools;150;;Elementary Schools,Middle Schools & High Schools;0;3400 NW 87th St Miami, FL 33147;25.8518589;-80.2531933;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-6
Miami-Dade County Public Schools;151;;Elementary Schools,Middle Schools & High Schools;0;225 NE 34th St Miami, FL 33137;25.8087964;-80.1907126;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-210
Miami-Dade County Public Schools;152;;Elementary Schools,Middle Schools & High Schools;0;3401 NW 83rd St Miami, FL 33147;25.8519041;-80.2531252;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-47
Village Green Christian School;153;;Elementary Schools,Middle Schools & High Schools,Preschools;0;4707 SW 127th Ave Miami, FL 33175;25.7217069;-80.3988177;0;https://www.yelp.com/biz/village-green-christian-school-miami
Westwood Christian High School;154;;Middle Schools & High Schools;0;5801 SW 120th Ave Miami, FL 33183;25.7137361;-80.3877014;0;https://www.yelp.com/biz/westwood-christian-high-school-miami
Miami-Dade County Public Schools;155;;Elementary Schools,Middle Schools & High Schools;0;149 NW 49th St Miami, FL 33127;25.821301;-80.1987979;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-142
